Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
3/8;1/2;[[0,0],[2,0],[3,4],[7,6],[5,2],[9,6]]
11/35;2/5;[[0,0],[1,0],[10,14],[15,20],[17,23],[18,25]]
1/2;1/2;[[0,0],[4,0],[0,2],[4,3],[1,-3],[3,-3]]
1/2;1/2;[[0,0],[1,0],[0,1],[5,1],[2,2],[10,3],[7,4],[12,4]]
5/12;2/3;[[0,0],[1,0],[1,8],[2,11],[0,-10],[-1,-13],[-1,-15]]
2/5;2/5;[[0,0],[1,0],[0,4],[2,5],[4,4],[-3,2],[4,5]]
1;1;[[0,0],[14,0],[0,1],[11,-1],[-4,1],[5,-1]]
5/16;1/2;[[0,0],[1,0],[8,17],[-5,-13],[-4,-11],[8,16]]
4/13;2/5;[[0,0],[5,0],[0,3],[4,-3],[-1,1],[-2,4]]
2/11;2/3;[[0,0],[1,0],[1,11],[2,12],[0,8],[-1,3]]
4/13;2/5;[[0,0],[1,0],[1,5],[2,7],[3,3],[5,10],[5,9]]
11/56;1/2;[[0,0],[1,0],[12,14],[11,14],[8,8]]
3/8;2/5;[[0,0],[1,0],[6,10],[9,14],[4,7],[-5,-9],[-2,-5],[-7,-13]]
9/28;1/2;[[0,0],[1,0],[3,8],[-4,-13],[6,15],[5,11],[7,17]]
3/8;2/5;[[0,0],[1,0],[9,12],[9,11],[-4,-6],[7,10],[5,5],[8,9]]
2/5;2/5;[[0,0],[1,0],[6,10],[0,-1],[8,11],[4,8],[2,5]]
2/3;2/3;[[0,0],[1,0],[8,14],[3,6],[-4,-9],[8,13],[10,17]]
4/11;2/5;[[0,0],[1,0],[1,3],[5,3],[6,6],[6,4],[4,6],[2,5]]
2/5;2/5;[[0,0],[1,0],[4,5],[8,5],[-1,2]]
1/3;2/5;[[0,0],[1,0],[4,6],[-1,1],[4,4],[0,4],[1,6]]
1/3;1/2;[[0,0],[2,0],[4,5],[5,4],[-3,-4],[-2,-5],[-4,-7]]
12/35;1/2;[[0,0],[1,0],[3,11],[4,11],[2,1],[4,7]]
1/2;1/2;[[0,0],[3,0],[1,4],[0,2],[4,4],[4,5],[1,-3]]
1/2;1/2;[[0,0],[1,0],[0,1],[-13,7],[-7,3],[-12,6],[-9,4],[-5,4],[-7,5]]
5/14;1/2;[[0,0],[1,0],[1,5],[4,9],[3,3],[3,9],[2,8],[4,6]]
7/20;1/2;[[0,0],[1,0],[0,5],[-3,7],[-2,1],[-2,8],[-3,5]]
2/3;2/3;[[0,0],[2,0],[1,3],[-4,1],[5,2],[-3,3]]
1/3;2/5;[[0,0],[1,0],[0,2],[4,-8],[4,-12],[2,-7],[6,-14]]
2/3;2/3;[[0,0],[1,0],[1,5],[0,-10],[-1,-8],[-2,-18],[-2,-17]]
2/3;2/3;[[0,0],[1,0],[1,10],[2,8],[0,7],[2,11],[-1,2],[-1,3]]
2/5;3/7;[[0,0],[1,0],[2,3],[16,10]]
2/9;1/2;[[0,0],[2,0],[0,3],[-4,6],[6,-7],[-5,6]]
1/2;1/2;[[0,0],[2,0],[1,2],[3,3],[6,1],[6,4],[9,4]]
1/2;1/2;[[0,0],[1,0],[2,5],[-1,5],[1,7],[-2,1],[2,7],[-2,2]]
4/11;1/2;[[0,0],[1,0],[1,2],[7,7],[5,7],[7,6],[4,2],[6,4]]
6/17;2/5;[[0,0],[1,0],[2,3],[-5,-8],[9,13],[9,11]]
1;1;[[0,0],[1,0],[1,13],[2,13],[0,-1],[2,2]]
3/7;3/7;[[0,0],[1,0],[2,3],[4,5],[7,3],[9,5]]
16/39;2/3;[[0,0],[1,0],[2,13],[3,17],[3,9]]
1/2;1/2;[[0,0],[1,0],[4,8],[5,11],[3,9],[6,17],[7,19]]
2/3;2/3;[[0,0],[11,0],[0,1],[23,-2],[1,1],[25,-2]]
1/4;2/5;[[0,0],[1,0],[5,8],[7,9],[7,8],[3,1],[5,4]]
11/45;2/5;[[0,0],[2,0],[0,5],[-2,9],[5,-9]]
3/11;2/5;[[0,0],[1,0],[4,18],[4,22],[5,25]]
9/28;2/5;[[0,0],[2,0],[0,1],[4,-6],[2,-6],[5,-5],[1,-5]]
9/28;1/2;[[0,0],[1,0],[3,12],[2,10],[3,7],[1,7],[4,13],[4,12]]
